movie,unaided_intent_0,unaided_intent_1,unaided_intent_2,unaided_intent_3,unaided_intent_4,unaided_intent_5,unaided_intent_6,unaided_intent_7,unaided_intent_8,unaided_intent_9,unaided_intent_10,unaided_intent_11,def/pos_0,def/pos_1,def/pos_2,def/pos_3,def/pos_4,def/pos_5,def/pos_6,def/pos_7,def/pos_8,def/pos_9,def/pos_10,def/pos_11,unaid/total_0,unaid/total_1,unaid/total_2,unaid/total_3,unaid/total_4,unaid/total_5,unaid/total_6,unaid/total_7,unaid/total_8,unaid/total_9,unaid/total_10,unaid/total_11,unaided_awareness_0,unaided_awareness_1,unaided_awareness_2,unaided_awareness_3,unaided_awareness_4,unaided_awareness_5,unaided_awareness_6,unaided_awareness_7,unaided_awareness_8,unaided_awareness_9,unaided_awareness_10,unaided_awareness_11,total_awareness_0,total_awareness_1,total_awareness_2,total_awareness_3,total_awareness_4,total_awareness_5,total_awareness_6,total_awareness_7,total_awareness_8,total_awareness_9,total_awareness_10,total_awareness_11,definite_interest_0,definite_interest_1,definite_interest_2,definite_interest_3,definite_interest_4,definite_interest_5,definite_interest_6,definite_interest_7,definite_interest_8,definite_interest_9,definite_interest_10,definite_interest_11,positive_interest_0,positive_interest_1,positive_interest_2,positive_interest_3,positive_interest_4,positive_interest_5,positive_interest_6,positive_interest_7,positive_interest_8,positive_interest_9,positive_interest_10,positive_interest_11,definite_not_interest_0,definite_not_interest_1,definite_not_interest_2,definite_not_interest_3,definite_not_interest_4,definite_not_interest_5,definite_not_interest_6,definite_not_interest_7,definite_not_interest_8,definite_not_interest_9,definite_not_interest_10,definite_not_interest_11,opening_weekend_gross
47 Meters Down,1.690615533333333,0.0,0.8138759000000001,0.0,1.6003239999999999,0.0,3.1184960333333334,0.0,1.0248602,0.0,1.2786036333333333,0.1285129,0.5649105803473049,0.5851467146270622,0.5195559520853336,0.6101042364069467,0.6807633490181769,0.5074642133867676,0.5342657360415659,0.4793036771996574,0.5279967363188853,0.48643449862811244,0.5221297042989177,0.5520677331007434,0.10194756611623129,0.0,0.047851818686690424,0.08910782083508617,0.06966035312529684,0.07230942664065801,0.12727992580812672,0.08537341862000873,0.05846693188202879,0.042378305549466,0.08420145368474669,0.08569059150336872,4.498915066666666,0.0,1.7497834333333335,4.1727739,2.8217278999999995,2.5865204666666664,4.884589366666667,3.6628745333333335,2.3134696999999997,1.7425746333333336,3.294104866666667,3.143816866666667,44.12969566666667,40.95780276666667,36.566707,46.828368833333336,40.506942233333326,35.77016976666667,38.37674586666667,42.90415673333334,39.56885756666667,41.119497599999995,39.12171016666667,36.6880052,41.57776656666667,31.608637133333335,26.5896003,44.712858100000005,43.7309204,32.26422203333333,30.884855200000004,34.170838233333335,36.01073873333333,28.5593116,30.379578633333335,33.77382023333333,73.60061576666666,54.01831086666667,51.177549199999994,73.2872441,64.2380652,63.57930506666667,57.808040299999995,71.29266863333332,68.20257826666666,58.71152576666666,58.1839692,61.176950233333336,1.3176599333333332,4.7855694,7.293445033333334,1.7764481666666667,0.0,0.0,3.4391714333333336,3.038612366666667,2.1814949333333336,4.360457333333334,6.503900833333333,5.345660933333332,11205561.0
A Cure For Wellness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.509090909090909,0.5363321799307958,0.5595667870036101,0.45588235294117646,0.5398550724637681,0.6984732824427481,0.5622775800711743,0.6367521367521367,0.48507462686567165,0.53515625,0.5469387755102041,0.512,0.011428571428571429,0.04093567251461988,0.031055900621118012,0.016853932584269662,0.01775147928994083,0.0915032679738562,0.01694915254237288,0.040229885057471264,0.006535947712418301,0.03225806451612903,0.03184713375796178,0.044585987261146494,0.5,1.75,1.25,0.75,0.75,3.5,0.75,1.75,0.25,1.25,1.25,1.75,43.75,42.75,40.25,44.5,42.25,38.25,44.25,43.5,38.25,38.75,39.25,39.25,35.0,38.75,38.75,31.0,37.25,45.75,39.5,37.25,32.5,34.25,33.5,32.0,68.75,72.25,69.25,68.0,69.0,65.5,70.25,58.5,67.0,64.0,61.25,62.5,6.75,6.25,2.75,6.5,5.75,7.5,5.75,2.5,5.75,6.0,5.5,6.25,4356941.0
A Dogs Purpose,2.25,0.75,6.5,1.5,0.5,0.0,0.0,0.0,1.25,0.5,3.0,1.75,0.5993589743589743,0.6620689655172414,0.729483282674772,0.5912162162162162,0.6704980842911877,0.4833948339483395,0.6727272727272727,0.6563706563706564,0.627906976744186,0.5579710144927537,0.6826923076923077,0.621160409556314,0.0871559633027523,0.05803571428571429,0.09608540925266904,0.06060606060606061,0.04245283018867924,0.0,0.06692913385826772,0.08849557522123894,0.06607929515418502,0.027777777777777776,0.08960573476702509,0.06844106463878327,4.75,3.25,6.75,4.0,2.25,0.0,4.25,5.0,3.75,1.5,6.25,4.5,54.5,56.0,70.25,66.0,53.0,49.5,63.5,56.5,56.75,54.0,69.75,65.75,46.75,48.0,60.0,43.75,43.75,32.75,46.25,42.5,47.25,38.5,53.25,45.5,78.0,72.5,82.25,74.0,65.25,67.75,68.75,64.75,75.25,69.0,78.0,73.25,1.25,4.0,6.75,5.5,3.75,4.25,5.5,11.25,3.75,7.5,5.0,5.5,18222810.0
Alice Through the Looking Glas,0.75,1.25,2.25,3.75,0.0,0.0,4.25,1.75,0.5,0.5,4.5,3.0,0.4395973154362416,0.5718954248366013,0.6951219512195121,0.6377708978328174,0.5317460317460317,0.5263157894736842,0.7095808383233533,0.6388888888888888,0.5152671755725191,0.5631768953068592,0.6984615384615385,0.6445182724252492,0.04642857142857143,0.07473309608540925,0.09722222222222222,0.10863509749303621,0.0,0.08045977011494253,0.04294478527607362,0.06289308176100629,0.04713804713804714,0.07666666666666666,0.09915014164305949,0.09455587392550144,3.25,5.25,8.75,9.75,0.0,5.25,3.5,5.0,3.5,5.75,8.75,8.25,70.0,70.25,90.0,89.75,72.75,65.25,81.5,79.5,74.25,75.0,88.25,87.25,32.75,43.75,57.0,51.5,33.5,32.5,59.25,46.0,33.75,39.0,56.75,48.5,74.5,76.5,82.0,80.75,63.0,61.75,83.5,72.0,65.5,69.25,81.25,75.25,5.25,1.5,2.25,4.25,3.5,6.0,1.0,6.5,5.5,3.75,2.5,5.25,26858726.0
Alien Covenant,3.0,3.6666666666666665,1.0,4.0,7.0,3.3333333333333335,0.0,4.0,3.3333333333333335,4.333333333333333,1.0,3.6666666666666665,0.6610878661087866,0.709016393442623,0.6582914572864321,0.7044334975369457,0.6190476190476191,0.7799227799227799,0.6218905472636815,0.6425120772946861,0.6371681415929203,0.7017543859649124,0.5699481865284974,0.5683060109289617,0.233201581027668,0.128,0.18571428571428572,0.23076923076923078,0.22978723404255322,0.17578125,0.12121212121212122,0.23762376237623764,0.22077922077922077,0.19841269841269843,0.2041884816753927,0.19806763285024154,19.666666666666668,10.666666666666666,13.0,16.0,18.0,15.0,8.0,16.0,17.0,16.666666666666668,13.0,13.666666666666666,84.33333333333333,83.33333333333333,70.0,69.33333333333333,78.33333333333333,85.33333333333333,66.0,67.33333333333333,77.0,84.0,63.666666666666664,69.0,52.666666666666664,57.666666666666664,43.666666666666664,47.666666666666664,47.666666666666664,67.33333333333333,41.666666666666664,44.333333333333336,48.0,53.333333333333336,36.666666666666664,34.666666666666664,79.66666666666667,81.33333333333333,66.33333333333333,67.66666666666667,77.0,86.33333333333333,67.0,69.0,75.33333333333333,76.0,64.33333333333333,61.0,2.6666666666666665,5.666666666666667,6.666666666666667,6.666666666666667,7.333333333333333,9.0,14.0,4.666666666666667,4.666666666666667,5.333333333333333,7.666666666666667,9.0,36160621.0
All Eyez On Me,0.7729315,0.0,1.7097393333333333,2.103802433333333,13.5928642,6.052350033333333,8.621901933333334,7.1409928,2.5262304333333336,0.9023555666666668,2.0578119,1.5620155,0.4844768388817621,0.5157057709104433,0.5390640104797819,0.7188832343603906,0.7605197779090122,0.7757449717146464,0.7989001259829092,0.7584461467345457,0.5882575398349088,0.5680243182603767,0.5716137612953385,0.6500958813674522,0.06868499427555483,0.08151198543053546,0.1063822742383513,0.1653811969415861,0.2823896302332472,0.2453579258724929,0.3131920573698789,0.2758626036626446,0.1154973870989145,0.11024512112404582,0.14852334828998282,0.1658502744540684,3.043276133333333,3.3791236333333337,4.8414389,8.0502078,20.984808933333333,18.6577593,19.702659666666666,18.930819966666668,5.025452966666666,4.4696671666666665,5.9371452,6.084144300000001,44.3077293,41.4555432,45.50982703333333,48.6766812,74.31154223333334,76.04302666666666,62.90919326666667,68.62408936666667,43.51139963333333,40.54299293333333,39.97449066666666,36.68455973333334,34.03202916666667,38.350678433333336,34.4765358,41.64558113333334,66.00654053333334,60.987008366666664,65.4717715,56.67302443333333,40.13629876666666,37.262326433333335,36.821395466666665,38.2722671,70.24490426666667,74.36542423333334,63.956292999999995,57.93093946666667,86.79135303333334,78.6173428,81.952386,74.7225425,68.22912763333333,65.5998788,64.4165658,58.871726766666676,9.502982433333333,0.0,5.6998741666666675,9.5571536,0.0,1.7090856666666667,4.039465799999999,6.844966366666665,6.247260399999999,4.6184825,4.5560213,5.892186966666667,26435354.0
Allied,0.5,1.0,0.0,0.0,0.0,1.25,0.0,1.0,0.5,0.5,0.5,0.25,0.5018867924528302,0.5590277777777778,0.5099601593625498,0.49645390070921985,0.440625,0.5529953917050692,0.4479638009049774,0.3805970149253731,0.47586206896551725,0.5376344086021505,0.5060728744939271,0.50187265917603,0.022935779816513763,0.03056768558951965,0.0273972602739726,0.05963302752293578,0.0,0.1076923076923077,0.016666666666666666,0.03,0.0380952380952381,0.05803571428571429,0.030864197530864196,0.04186046511627907,1.25,1.75,1.0,3.25,0.0,5.25,0.75,1.5,2.0,3.25,1.25,2.25,54.5,57.25,36.5,54.5,60.25,48.75,45.0,50.0,52.5,56.0,40.5,53.75,33.25,40.25,32.0,35.0,35.25,30.0,24.75,25.5,34.5,37.5,31.25,33.5,66.25,72.0,62.75,70.5,80.0,54.25,55.25,67.0,72.5,69.75,61.75,66.75,3.5,5.5,5.75,4.25,0.0,3.0,8.75,3.0,1.75,3.5,5.5,5.0,12701743.0
Almost Christmas,0.0,0.0,0.0,0.75,0.5,0.0,2.0,1.25,0.0,0.0,0.5,0.25,0.588957055214724,0.6363636363636364,0.60431654676259,0.508,0.688622754491018,0.6006389776357828,0.7970588235294118,0.8757062146892656,0.5884244372990354,0.5511811023622047,0.6405693950177936,0.6689419795221843,0.048034934497816595,0.035,0.022026431718061675,0.00847457627118644,0.06796116504854369,0.049019607843137254,0.09385113268608414,0.05654761904761905,0.03587443946188341,0.0182648401826484,0.0330188679245283,0.022123893805309734,2.75,1.75,1.25,0.5,5.25,3.75,7.25,4.75,2.0,1.0,1.75,1.25,57.25,50.0,56.75,59.0,77.25,76.5,77.25,84.0,55.75,54.75,53.0,56.5,48.0,40.25,42.0,31.75,57.5,47.0,67.75,77.5,45.75,35.0,45.0,49.0,81.5,63.25,69.5,62.5,83.5,78.25,85.0,88.5,77.75,63.5,70.25,73.25,2.0,4.0,3.25,4.75,2.75,5.0,3.75,3.75,4.5,7.0,5.0,4.25,15134235.0
Annabelle Creation,3.6853801,0.0,6.2197322999999995,7.8948032999999995,2.3812794999999998,0.0,3.900122,13.4726071,1.5030709,0.6522055,3.8751542000000003,3.8429436000000003,0.7077232386151352,0.5234115873730164,0.6558797939457458,0.7761472358149187,0.5119813331813627,0.6031244257569675,0.7621657529187825,0.9038679848184012,0.680200284002464,0.5279161880770041,0.6511923514219264,0.7291505064437552,0.178009531254966,0.14698924305653271,0.31050831824225744,0.12393230755766264,0.19560632512877668,0.12766492112415348,0.25286521785287475,0.39482006805750697,0.14198995775727424,0.1048718475297769,0.2340014021844428,0.20649588018224807,11.4252915,8.835865400000001,24.308214800000002,7.8948032999999995,12.788184900000001,8.007963499999999,15.734586199999999,21.490485,8.991505300000002,5.7081346,16.033128899999998,11.571095,64.1835941,60.1123267,78.285229,63.702544200000006,65.3771543,62.7264203,62.2251899,54.4310858,63.3249382,54.429618000000005,68.5172343,56.03547629999999,41.7098782,46.4339297,53.265621499999995,38.8476592,39.698826399999994,51.6748285,58.3899142,53.8237551,42.8950696,35.01137429999999,47.979304799999994,33.5763875,58.935295499999995,88.7139888,81.2124752,50.0519198,77.5395973,85.6785537,76.6105194,59.54824820000001,63.0624106,66.31994830000001,73.679159,46.0486377,4.7347781,3.4333039,4.135841200000001,10.1427493,7.5228598,0.0,10.0205894,21.132224100000002,5.093796299999999,9.209923300000002,10.8589198,22.4959104,35006404.0
Arrival,1.25,1.0,1.0,1.0,0.0,0.0,0.0,1.25,0.5,1.0,0.25,1.0,0.6211180124223602,0.576271186440678,0.4175084175084175,0.5481927710843374,0.5977859778597786,0.56,0.45454545454545453,0.5986159169550173,0.5290322580645161,0.5559105431309904,0.4740740740740741,0.5578231292517006,0.0502283105022831,0.09417040358744394,0.04145077720207254,0.045454545454545456,0.0,0.019138755980861243,0.032679738562091505,0.0,0.04411764705882353,0.0611353711790393,0.03067484662576687,0.025252525252525252,2.75,5.25,2.0,2.25,0.0,1.0,1.25,0.0,2.25,3.5,1.25,1.25,54.75,55.75,48.25,49.5,48.75,52.25,38.25,48.75,51.0,57.25,40.75,49.5,50.0,42.5,31.0,45.5,40.5,42.0,22.5,43.25,41.0,43.5,32.0,41.0,80.5,73.75,74.25,83.0,67.75,75.0,49.5,72.25,77.5,78.25,67.5,73.5,0.0,0.75,1.25,5.75,9.25,9.0,5.0,1.75,2.5,2.75,3.0,3.5,24074047.0
